Device_Name,Device_Type,Location,Wattage,BEE_Star_Rating,Age_Years,Usage_Hours_Day,Smart_Enabled,Priority_Level,Replacement_Cost_INR,Annual_Cost_INR
Split_AC_1.5Ton,HVAC,Master_Bedroom,1800,3,5,8,Yes,High,45000,8640
Window_AC_1Ton,HVAC,Living_Room,1200,2,12,6,No,High,25000,4320
Ceiling_Fan_Bedroom,Cooling,Bedroom,75,5,8,12,No,High,3500,540
Ceiling_Fan_Living,Cooling,Living_Room,75,5,6,10,No,High,3500,450
Water_Heater_Electric,Water_Heating,Bathroom,2000,4,4,2,No,High,15000,2400
Geyser_Instant,Water_Heating,Kitchen,3000,3,6,0.5,No,Medium,8000,900
Refrigerator_Double_Door,Appliance,Kitchen,200,4,3,24,No,High,35000,3504
Washing_Machine_Semi,Appliance,Balcony,400,4,5,1,No,Medium,18000,240
Washing_Machine_Front_Load,Appliance,Utility,500,5,2,1.5,Yes,Medium,45000,450
Microwave_Oven,Appliance,Kitchen,1000,0,4,0.5,No,Medium,12000,300
Induction_Cooktop,Appliance,Kitchen,2000,0,3,2,No,High,8000,2400
Mixer_Grinder,Appliance,Kitchen,750,0,6,0.5,No,Medium,5000,225
Electric_Kettle,Appliance,Kitchen,1500,0,2,0.3,No,Low,2000,270
Rice_Cooker,Appliance,Kitchen,700,0,4,0.8,No,Low,3500,336
Iron_Electric,Appliance,Bedroom,1000,0,5,0.5,No,Low,1500,300
Vacuum_Cleaner,Appliance,Storage,1400,0,3,0.3,No,Low,15000,252
LED_TV_43inch,Electronics,Living_Room,120,4,2,6,Yes,Medium,35000,432
LED_TV_32inch,Electronics,Bedroom,80,3,4,4,No,Low,20000,192
DTH_Set_Top_Box,Electronics,Living_Room,15,0,3,8,No,Low,3000,72
WiFi_Router,Electronics,Living_Room,12,0,2,24,Yes,Medium,3000,63
Desktop_Computer,Electronics,Study_Room,250,0,4,6,No,Medium,50000,900
Laptop_Computer,Electronics,Study_Room,65,0,2,8,Yes,Low,60000,312
Mobile_Chargers_4units,Electronics,Multiple,20,0,1,4,No,Low,2000,48
LED_Tube_Kitchen,Lighting,Kitchen,20,5,1,6,No,Low,800,72
LED_Tube_Living,Lighting,Living_Room,20,5,1,5,No,Low,800,60
LED_Bulbs_Bedroom_3units,Lighting,Bedroom,30,5,2,4,No,Low,1200,72
CFL_Bathroom,Lighting,Bathroom,15,0,8,2,No,Low,300,18
Tube_Light_Study,Lighting,Study_Room,40,0,10,6,No,Medium,500,144
Security_Light_LED,Lighting,Entrance,50,4,3,12,Yes,Medium,2000,360
Inverter_Battery_System,Power_Backup,Utility,100,0,4,3,No,High,25000,180
Exhaust_Fan_Kitchen,Ventilation,Kitchen,50,3,6,2,No,Medium,2500,60
Exhaust_Fan_Bathroom,Ventilation,Bathroom,35,3,5,1,No,Medium,2000,21
Water_Pump_Motor,Motor,Terrace,750,0,8,1,No,High,8000,450
RO_Water_Purifier,Appliance,Kitchen,60,0,3,6,No,High,18000,216
Air_Purifier,Appliance,Living_Room,45,0,2,8,Yes,Low,15000,216

